Calories,FatContent,SaturatedFatContent,CholesterolContent,SodiumContent,CarbohydrateContent,FiberContent,SugarContent,ProteinContent
295.4,16.7,6.7,29.3,536.0,22.3,6.1,1.8,18.9
645.2,21.2,8.6,64.2,1464.4,78.0,10.0,5.4,35.2
970.8,24.0,4.5,93.0,1383.7,162.0,4.7,3.2,19.3
295.3,13.5,5.8,79.4,1011.8,20.3,3.6,6.2,24.7
252.2,17.4,5.0,86.2,80.9,1.4,0.3,0.3,21.6
235.4,8.3,5.0,35.8,202.1,38.2,0.7,17.0,2.7
125.4,11.1,3.7,16.3,806.2,2.9,0.3,0.2,3.3
312.7,19.1,11.8,65.4,58.5,32.7,0.7,13.5,3.2
233.8,15.9,8.2,105.1,1068.0,8.5,0.8,1.3,13.9
123.2,13.5,1.9,0.0,0.4,1.3,0.1,0.4,0.1
193.2,6.9,2.0,46.4,462.9,17.7,1.2,14.0,15.8
138.3,6.5,3.7,15.2,41.4,19.5,0.6,11.8,1.2
153.8,5.4,2.9,11.4,40.9,24.1,2.0,10.4,3.0
401.7,21.7,10.3,41.6,256.0,48.1,3.2,28.6,7.8
225.6,9.6,2.2,38.0,405.8,30.2,0.8,10.0,4.3
78.1,0.7,0.3,1.9,49.2,17.1,1.7,12.5,2.5
110.3,4.8,0.9,24.5,226.5,14.2,1.1,1.6,3.1
247.4,17.8,10.5,141.5,325.4,6.6,1.1,3.2,15.8
172.4,4.5,0.5,0.0,137.7,32.3,1.1,20.1,2.2
196.5,4.6,0.9,75.5,172.9,12.5,2.3,7.0,26.9
317.8,19.3,5.4,86.2,279.2,13.3,0.7,11.2,21.9
178.0,5.0,1.0,72.5,572.1,2.2,0.3,0.3,29.6
143.6,4.0,2.5,10.2,7.2,28.4,2.2,12.1,1.2
322.4,10.8,2.2,0.0,129.0,54.7,2.2,35.6,3.0
338.8,9.5,1.3,0.0,1148.9,56.1,1.4,0.5,6.0
207.2,9.5,4.9,115.2,522.0,22.2,1.5,0.9,8.8
196.9,3.0,1.9,7.6,28.5,43.4,1.2,38.8,0.7
294.2,12.0,5.5,55.6,127.3,44.8,1.2,32.6,3.7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,1.8,0.3,0.0,170.6,4.4,0.9,2.6,1.0
269.1,14.5,2.4,70.5,516.3,27.3,0.9,1.4,6.9
383.1,25.7,10.4,253.6,840.2,19.4,1.2,2.4,18.2
207.8,12.6,4.5,59.8,271.5,4.2,2.3,1.2,20.1
436.1,14.7,4.0,29.6,441.1,71.6,1.2,39.9,5.6
820.0,1.0,0.3,0.0,63.9,186.1,23.4,8.3,21.5
751.5,14.4,2.0,0.0,48.8,144.1,18.3,12.2,16.3
331.1,13.2,3.6,36.3,295.9,50.4,1.8,30.7,5.1
318.5,18.2,7.7,57.8,336.3,36.7,1.0,24.1,4.1
192.7,8.7,3.5,50.5,319.1,26.2,0.5,20.6,3.2
54.8,0.1,0.0,0.0,5.6,14.2,0.5,12.6,0.2
32.2,0.1,0.0,0.0,34.3,7.3,2.9,3.1,2.3
120.3,1.4,0.3,12.9,622.6,14.3,4.1,4.5,12.7
192.9,15.3,5.0,46.2,178.7,8.7,2.4,6.0,7.2
384.9,17.1,4.8,80.7,207.9,57.9,1.4,32.1,3.9
268.5,0.9,0.2,0.0,294.6,56.0,2.7,1.2,8.1
208.8,8.3,2.2,68.0,213.9,6.1,1.5,3.9,27.6
187.0,5.4,1.9,32.2,191.8,12.2,1.2,5.9,22.1
151.8,7.2,1.0,0.0,368.3,19.1,5.4,4.4,4.8
142.5,6.8,1.7,0.6,224.3,17.6,0.7,2.4,2.8
206.6,8.0,1.1,47.6,143.4,29.2,1.9,9.8,5.3
51.6,0.0,0.0,0.0,0.3,13.2,0.0,13.1,0.0
202.5,16.8,9.8,55.2,309.8,3.5,0.5,1.7,9.6
227.3,20.4,4.0,6.2,87.3,12.7,8.5,1.9,3.0
321.7,8.5,3.1,117.3,580.1,25.0,2.1,5.9,36.8
379.0,15.1,8.1,92.1,478.0,36.5,2.8,5.9,23.3
157.8,3.2,1.1,56.2,341.6,21.7,1.9,8.2,11.0
273.2,15.2,6.2,98.2,164.0,1.4,0.1,0.5,30.4
91.3,4.7,1.3,6.8,68.4,11.1,0.9,7.3,2.1
475.8,6.2,2.9,13.7,703.5,82.3,5.7,8.8,16.1
113.1,11.2,6.0,24.4,65.5,3.9,0.3,3.6,0.4
421.1,17.7,6.9,29.1,1148.2,50.6,3.6,4.4,15.2
257.6,16.5,7.6,40.8,458.6,24.9,4.2,3.8,4.8
233.2,9.6,1.4,242.5,243.3,2.2,0.1,0.0,32.6
236.8,11.7,1.1,0.0,148.9,31.8,1.4,25.8,3.1
199.3,1.6,0.3,0.0,408.4,43.2,1.7,21.6,4.2
155.6,4.1,1.8,50.4,213.2,3.6,1.1,1.3,25.3
274.5,12.5,2.5,70.5,371.9,37.2,0.6,27.6,3.6
328.6,17.0,9.9,168.7,577.4,8.5,0.2,0.7,29.9
520.1,12.4,3.0,222.9,1077.9,60.3,2.6,2.3,35.9
201.1,0.5,0.0,0.0,79.9,4.8,1.4,0.2,3.0
272.8,10.5,6.2,61.6,338.3,42.5,1.4,24.4,3.7
128.7,1.4,0.8,5.5,100.0,21.9,1.4,14.7,7.4
231.0,6.4,1.1,137.9,215.2,3.0,0.8,1.6,38.9
164.9,3.4,0.4,79.2,510.0,10.5,1.1,1.7,23.3
135.2,0.8,0.2,15.5,1267.2,27.2,1.1,1.1,4.3
188.8,5.2,1.8,53.5,656.5,13.4,0.3,11.7,20.6
44.7,2.4,0.3,0.0,422.8,5.7,1.4,3.3,1.0
111.2,11.1,6.5,98.8,160.0,0.5,0.1,0.2,2.7
353.7,17.8,5.3,58.8,163.6,24.9,7.8,4.8,24.4
281.4,13.3,6.9,44.5,558.1,25.6,1.9,2.2,14.5
300.9,13.6,2.9,115.6,293.2,33.4,0.6,0.9,11.8
37.8,1.2,0.8,4.9,27.4,4.4,0.0,4.7,2.2
302.7,15.4,7.1,123.0,548.1,12.6,0.4,0.8,27.4
291.0,14.8,8.4,35.3,838.3,31.7,1.6,3.9,7.8
74.1,4.0,0.8,3.9,72.3,8.8,0.2,3.7,0.8
677.8,35.1,8.1,90.9,1506.5,53.2,4.1,6.0,36.1
211.0,4.8,3.0,13.0,56.5,38.2,4.7,1.7,5.0
151.0,11.4,3.7,64.5,185.2,5.0,0.6,1.6,8.0
175.1,7.9,4.9,20.3,56.1,28.4,3.7,22.8,0.5
415.2,14.3,5.9,58.4,1044.1,53.6,10.1,16.8,21.9
307.2,18.2,7.2,51.9,105.7,36.2,1.8,27.9,3.9
174.7,17.2,5.7,24.5,67.0,2.9,1.0,0.4,4.1
354.2,15.2,2.8,55.9,485.1,50.6,0.7,36.1,4.2
59.3,3.2,2.0,11.7,44.1,7.0,0.1,3.0,0.7
186.1,2.3,0.6,25.6,198.6,23.8,4.8,4.4,17.7
320.4,19.5,4.4,118.3,875.7,5.3,0.2,3.4,29.3
298.6,13.7,3.9,92.8,94.1,11.3,1.0,7.0,30.8
566.9,24.3,12.5,91.0,293.0,56.3,3.1,3.3,28.6
577.4,5.5,1.1,0.0,2069.6,119.9,5.2,9.3,11.7
398.5,23.2,7.5,49.3,149.5,44.0,0.8,20.0,4.1
148.5,5.9,3.2,25.3,1488.2,19.9,2.7,3.3,4.5
407.4,19.7,7.3,8.0,177.8,56.6,1.9,24.1,5.2
174.2,10.2,5.1,31.2,82.7,20.1,1.1,13.1,2.3
698.9,20.0,9.4,158.3,829.1,82.2,5.0,8.1,44.6
416.8,14.6,8.1,167.4,335.0,12.1,0.2,1.0,55.7
219.0,8.0,4.3,86.0,361.6,3.9,0.4,0.4,31.2
309.1,11.5,2.9,7.3,589.6,41.0,2.6,1.1,10.2
380.6,18.8,7.6,90.8,280.3,40.2,1.6,28.4,15.5
690.4,39.2,10.5,169.4,348.3,61.5,4.0,4.5,24.2
187.1,16.6,4.8,16.5,352.8,2.5,0.5,0.2,7.5
380.6,11.0,1.5,0.0,585.8,60.6,2.6,0.5,8.8
217.9,7.2,1.0,0.0,292.5,33.1,1.2,0.4,4.5
440.8,18.4,8.2,59.4,1621.3,44.1,2.2,3.2,23.4
653.1,34.7,12.3,57.8,852.2,61.0,5.7,0.0,26.1
1.2,0.0,0.0,0.0,0.9,0.3,0.0,0.2,0.0
157.4,9.3,1.7,2.5,323.3,6.0,0.4,3.2,1.3
167.7,1.5,0.4,68.4,82.8,10.0,0.1,5.5,27.4
249.0,4.6,1.1,83.5,701.1,22.1,5.7,8.9,29.9
407.8,24.2,8.4,109.0,673.3,9.5,0.2,0.8,36.4
434.0,13.7,7.2,132.0,489.5,24.9,3.8,2.3,51.8
675.8,36.5,10.3,110.3,1566.8,51.5,7.0,8.1,37.6
655.4,35.8,10.6,175.7,1451.9,30.4,1.2,6.0,49.8
400.6,12.2,4.2,87.0,805.7,39.6,2.0,3.6,31.4
142.2,5.8,2.7,92.1,503.3,16.5,1.1,0.2,6.6
408.1,14.0,2.6,146.3,238.8,1.4,0.4,0.4,65.3
106.1,0.0,0.0,0.0,2.5,27.7,0.2,25.5,0.3
467.4,6.2,0.9,0.0,16.9,97.0,15.2,5.7,10.4
254.7,9.9,1.5,72.8,1139.7,14.4,0.3,10.5,26.2
226.8,10.7,5.0,100.5,114.2,10.1,1.2,6.1,22.5
51.6,2.4,1.3,14.9,118.9,4.9,0.1,0.2,2.4
30.7,0.1,0.0,0.0,2.5,7.5,0.7,5.1,0.7
413.0,12.7,5.0,269.2,682.7,56.2,1.9,14.0,17.3
410.9,16.0,3.9,0.0,281.5,64.3,4.7,34.8,4.3
22.5,1.2,0.4,46.5,18.7,1.5,0.5,0.4,1.8
105.7,2.8,1.4,5.1,143.8,17.3,3.8,4.3,4.4
179.4,15.8,3.1,6.2,157.9,5.7,1.1,4.0,4.6
237.0,8.1,2.5,85.0,1088.2,5.8,0.7,1.1,34.1
82.9,1.8,0.3,0.0,59.5,15.2,6.2,8.7,2.9
140.7,8.0,4.2,15.3,1113.4,8.4,2.1,5.4,8.1
342.2,18.5,4.6,107.0,794.1,2.1,0.4,0.8,39.2
353.5,7.2,2.1,8.2,449.1,71.7,7.1,8.4,9.8
385.5,30.7,12.8,77.5,790.8,20.5,1.8,4.3,10.0
242.0,8.6,4.8,27.8,243.2,30.4,1.5,1.4,10.7
321.3,11.6,2.0,100.7,394.9,16.0,3.1,7.3,37.8
293.1,6.4,1.3,93.0,37.2,47.9,1.7,0.3,9.6
630.8,6.0,1.3,196.8,723.7,45.9,3.4,4.3,93.5
106.4,3.7,2.2,16.7,96.8,17.1,0.4,8.7,1.4
196.8,4.5,2.6,25.7,290.6,37.6,0.6,16.8,2.4
108.5,7.8,4.2,113.9,71.4,1.6,0.1,0.2,7.8
257.5,9.0,1.2,90.8,1226.8,11.8,0.7,8.6,31.4
265.2,12.2,2.1,110.4,240.3,18.3,0.6,1.3,20.1
193.9,8.4,1.4,47.1,267.7,26.8,0.8,14.6,3.2
65.6,0.7,0.2,1.9,127.4,8.8,0.4,5.7,6.5
428.0,22.6,7.3,50.9,358.1,50.8,2.1,34.8,8.6
196.0,4.2,1.3,5.4,215.8,40.8,2.2,35.7,3.7
166.7,10.2,6.2,32.8,358.8,11.6,0.4,0.4,7.4
333.5,12.4,4.6,51.4,262.0,33.3,9.6,3.1,23.7
98.1,3.0,0.9,3.6,163.6,11.2,2.4,2.9,7.8
322.2,13.3,4.4,38.5,349.1,50.1,0.9,20.1,4.3
524.9,25.3,5.9,103.3,403.0,51.1,3.9,5.1,23.0
321.6,13.6,2.6,1.2,243.8,49.5,3.0,13.5,3.7
165.9,10.4,1.6,0.0,549.8,16.8,5.2,6.1,4.8
52.5,5.8,3.6,15.2,66.4,0.3,0.2,0.2,0.1
438.8,29.1,9.0,38.6,1098.1,15.1,2.4,5.6,7.8
135.9,6.7,0.9,23.2,642.5,13.5,2.2,4.0,6.3
552.1,18.6,9.1,47.4,1135.7,68.7,10.6,11.4,30.2
327.7,15.7,6.8,128.1,1067.7,17.8,2.5,4.6,29.2
130.6,6.1,3.7,15.3,131.0,19.2,3.2,13.4,1.2
337.3,11.0,3.5,138.5,812.7,4.8,0.7,1.8,52.0
93.0,8.8,5.5,22.9,63.2,7.8,2.6,0.6,0.8
57.0,0.1,0.0,0.0,111.6,14.7,0.2,13.4,0.1
380.9,17.7,8.2,83.4,100.2,53.4,2.0,38.8,4.5
202.2,14.4,6.1,57.8,381.4,6.2,0.3,0.1,11.5
367.0,19.5,2.5,34.9,261.0,44.4,1.3,25.4,4.7
93.0,2.1,1.3,5.0,21.1,19.9,2.8,7.0,1.0
620.7,18.4,4.0,77.2,135.7,75.3,21.2,14.0,42.6
171.9,13.8,8.5,36.0,151.0,8.8,1.4,2.5,4.2
285.9,10.5,1.4,0.0,56.8,50.5,5.5,24.3,3.5
177.2,3.1,1.9,7.6,32.7,39.5,4.2,15.3,1.8
66.9,0.3,0.1,0.6,31.0,13.9,0.7,0.5,1.7
400.3,11.0,5.7,78.3,696.9,49.7,3.4,11.2,22.0
107.2,0.3,0.1,0.4,220.0,21.8,0.9,0.6,3.7
309.8,4.3,0.7,0.0,364.9,59.0,9.2,5.9,10.9
141.8,10.1,7.5,12.0,26.2,13.2,1.9,10.0,1.4
107.2,5.9,2.1,4.7,97.5,13.9,0.7,9.9,1.2
178.3,7.0,1.9,44.0,623.0,12.3,0.6,0.1,15.3
177.1,2.4,0.7,277.6,609.6,6.5,0.8,3.3,30.8
335.5,7.1,2.9,56.3,366.4,49.0,5.9,3.1,19.9
356.6,16.1,7.1,52.9,798.0,31.9,2.5,2.6,20.5
223.2,7.9,4.9,20.3,78.1,40.4,3.3,16.8,1.8
347.2,20.8,9.4,113.5,209.3,2.8,0.4,2.1,36.0
512.8,13.6,2.9,106.8,604.0,39.0,2.4,3.4,54.8
342.1,9.4,1.8,78.4,442.5,21.1,2.1,1.9,41.0
285.6,19.6,4.3,10.0,361.1,23.9,2.4,4.4,4.8
244.1,10.4,3.2,86.1,154.4,0.5,0.2,0.1,35.1
549.7,22.3,10.7,209.8,735.4,22.8,2.7,8.8,65.5
143.4,6.7,3.9,19.0,91.0,20.4,1.0,12.9,1.9
98.2,0.1,0.1,0.6,31.5,22.6,0.5,0.0,1.5
247.9,7.8,2.0,1.9,303.7,38.2,2.3,25.2,7.0
269.1,23.4,3.7,2.6,131.0,11.4,1.5,2.5,5.5
60.2,3.0,1.8,2.7,10.9,8.3,0.3,7.8,0.9
496.1,23.9,12.8,97.6,549.1,64.9,2.1,34.6,7.2
351.6,22.1,7.6,90.7,439.6,3.2,0.5,1.7,33.1
153.6,8.8,3.4,38.6,208.6,7.2,1.9,4.3,12.1
456.0,29.3,10.2,47.5,983.1,32.0,5.4,11.0,17.3
102.5,4.1,0.8,10.3,106.8,14.9,0.9,6.0,2.0
191.6,3.8,0.5,0.0,13.3,41.5,7.4,12.4,3.6
268.6,14.7,9.1,46.3,117.5,29.9,1.8,11.1,6.0
477.3,21.8,6.5,137.3,127.7,27.1,2.1,21.8,42.5
14.3,1.2,0.7,3.6,17.3,0.3,0.0,0.3,0.6
16.0,1.6,0.9,4.9,20.1,0.3,0.0,0.2,0.3
274.7,14.2,8.5,42.1,247.5,34.9,1.3,18.7,4.0
550.2,34.6,9.9,170.1,1000.7,14.0,3.0,8.4,45.6
367.9,13.7,4.0,110.0,318.2,56.3,1.8,36.6,6.8
231.8,11.0,3.3,75.1,459.5,28.8,1.4,13.2,5.2
446.1,4.5,0.9,72.9,1368.1,65.5,5.8,11.7,36.2
362.7,23.3,9.0,38.7,191.5,38.0,1.5,27.5,3.9
255.3,4.3,0.6,0.0,293.8,48.3,2.1,8.9,5.9
255.0,4.0,0.6,0.0,577.4,46.4,12.5,9.0,11.5
259.1,2.7,0.9,93.0,498.8,50.4,5.7,3.0,9.1
56.4,0.5,0.1,0.0,485.3,10.9,2.2,1.6,2.5
143.2,5.2,0.7,0.0,74.8,20.7,1.9,2.0,4.2
168.6,3.3,0.8,72.6,614.2,6.6,0.7,4.2,25.8
270.9,9.2,5.1,122.8,318.0,42.0,0.1,30.1,5.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
